序号,收寄省,收寄市,寄达省,寄达市,线路,高德里程,四象限线路类型,线路类别,"特快标准
（T+N）","行业时效产品
80%时限水平（T+N)",特快标准对比行业80%邮件时限水平,特快标准对比行业时限众数,"快包标准
（T+N）","行业非时效产品
80%时限水平（T+N)",快包标准对比行业非时效80%邮件时限水平,快包标准对比行业时限众数,行业线路时限众数,特快经转节点数,行业经转节点数,经转次数差异,"特快专递样本量
（件）",特快主要轨迹,行业主要轨迹,"投递天数差
（特快-行业）","特快专递全程时限
（小时）","特快专递全程时限环比
（11月-10月）
（小时）","行业全程时限
（小时）","行业全程时限环比
（11月-10月）
（小时）",特快专递次日递率,"特快专递次日递率环比
（11月-10月）",行业次日递率,"行业次日递率环比
（11月-10月）","特快专递平均天数T+N
（天）","特快专递平均天数T+N环比
（11月-10月）
（天）","行业平均天数T+N
（天）","行业平均天数T+N环比
（11月-10月）
（天）","特快专递收寄时限
（小时）","特快专递收寄时限环比
（11月-10月）
（小时）","特快专递出口段时限
（小时）","特快专递出口段时限环比
（11月-10月）
（小时）","特快专递中转段时限
（小时）","特快专递中转段时限环比
（11月-10月）
（小时）","特快专递进口段时限
（小时）","特快专递进口段时限环比
（11月-10月）
（小时）","特快专递投递时限
（小时）","特快专递投递时限环比
（11月-10月）
（小时）","行业样本量
（件）","行业收寄时限
（小时）","行业出口段时限
（小时）","行业中转段时限
（小时）","行业进口段时限
（小时）","行业投递时限
（小时）","次日递率差
（排序时限）
（特快-行业）","国家邮政局
50重点城市",长三角,珠三角,环渤海,长珠互寄,东三省,中部四省,川渝,行业2025年9月日均业务量估算值（件）,邮政日均业务量,是否够量市场线路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,内蒙古自治区,赤峰市,河北省,张家口市,赤峰市张家口市,567,-,省际,2,1,落后,落后,2,1,落后,落后,1,4.8 ,3.1 ,1.7 ,98,赤峰市-北京市-廊坊市-张家口市,赤峰市-北京市-张家口市,1.9 ,68.5 ,1.5 ,27.2 ,-2.2 ,0.0%,-2.4%,93.8%,9.3%,T+2.9,0.1 ,T+1.1,-0.1 ,4.6 ,0.6 ,7.1 ,1.7 ,21.4 ,1.0 ,31.3 ,-2.6 ,4.2 ,0.9 ,112,3.0 ,2.1 ,15.5 ,4.1 ,2.4 ,-93.8%,,,,,,,,,100,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,江苏省,连云港市,江西省,南昌市,连云港市南昌市,880,劣势线路,省际,1,1,持平,持平,2,1,落后,落后,1,4.1 ,2.0 ,2.1 ,"1,989",连云港市-淮安市-鹰潭市-南昌市,连云港市-南昌市,1.1 ,50.0 ,-0.8 ,27.2 ,0.8 ,1.5%,-0.5%,95.2%,-0.4%,T+2.2,-0.1 ,T+1.1,0.0 ,1.7 ,0.0 ,14.2 ,0.3 ,11.8 ,-0.2 ,17.3 ,-0.9 ,5.1 ,0.1 ,"1,260",2.4 ,6.1 ,12.9 ,3.2 ,2.7 ,-93.7%,,,,,,,,,"2,300",162,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,安徽省,池州市,山东省,青岛市,池州市青岛市,804,劣势线路,省际,1,1,持平,持平,2,1,落后,落后,1,3.6 ,2.7 ,0.9 ,713,池州市-安庆市-青岛市,池州市-芜湖市-青岛市,1.2 ,51.9 ,2.1 ,26.5 ,-2.2 ,2.1%,0.9%,95.8%,11.4%,T+2.2,0.1 ,T+1.0,-0.1 ,2.3 ,0.3 ,14.9 ,-1.5 ,14.4 ,1.4 ,16.3 ,1.7 ,3.9 ,0.1 ,237,3.0 ,6.2 ,11.6 ,4.1 ,1.6 ,-93.7%,,,,,,,,,300,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,湖北省,鄂州市,河南省,信阳市,鄂州市信阳市,291,劣势线路,省际,1,1,持平,持平,2,1,落后,落后,1,4.2 ,2.4 ,1.8 ,160,鄂州市-武汉市-驻马店市-信阳市,鄂州市-武汉市-信阳市,1.4 ,56.0 ,-1.5 ,23.6 ,-1.9 ,0.6%,0.6%,94.3%,7.6%,T+2.5,0.0 ,T+1.1,-0.1 ,7.8 ,0.7 ,15.9 ,-1.0 ,6.7 ,-1.1 ,22.0 ,0.4 ,3.5 ,-0.6 ,194,3.0 ,8.0 ,5.6 ,2.9 ,4.1 ,-93.7%,,,,,,,1,,"3,100",5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,江苏省,泰州市,山东省,枣庄市,泰州市枣庄市,440,-,省际,-,1,-,-,2,1,落后,落后,1,4.7 ,3.1 ,1.6 ,"1,261",泰州市-无锡市-临沂市-枣庄市,泰州市-连云港市-枣庄市,1.3 ,54.8 ,3.1 ,24.4 ,-2.3 ,0.0%,-0.1%,93.6%,7.0%,T+2.3,0.1 ,T+1.1,-0.1 ,1.5 ,-0.5 ,17.3 ,3.5 ,9.2 ,-0.9 ,22.2 ,1.2 ,4.7 ,-0.2 ,94,2.3 ,12.2 ,4.4 ,3.0 ,2.5 ,-93.6%,,,,,,,,,100,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,江苏省,连云港市,山东省,聊城市,连云港市聊城市,477,劣势线路,省际,1,1,持平,持平,2,1,落后,落后,1,3.8 ,3.1 ,0.7 ,848,连云港市-济南市-聊城市,连云港市-济南市-聊城市,1.0 ,46.2 ,2.6 ,24.4 ,-0.9 ,5.7%,-8.8%,99.3%,5.7%,T+2.0,0.1 ,T+1.0,-0.1 ,1.6 ,-0.1 ,9.8 ,-0.1 ,6.1 ,-0.6 ,24.0 ,2.4 ,4.7 ,0.9 ,716,2.3 ,5.2 ,6.2 ,8.3 ,2.4 ,-93.6%,,,,,,,,,"1,200",64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,江西省,抚州市,湖北省,黄石市,抚州市黄石市,377,-,省际,1,1,持平,持平,2,1,落后,落后,1,4.3 ,3.2 ,1.1 ,145,抚州市-鹰潭市-武汉市-黄石市,抚州市-南昌市-武汉市-鄂州市-黄石市,1.0 ,48.6 ,-0.4 ,26.2 ,-2.6 ,2.1%,-3.0%,95.7%,16.8%,T+2.1,0.0 ,T+1.0,-0.2 ,0.9 ,-0.5 ,14.7 ,-0.5 ,7.7 ,0.1 ,21.3 ,1.1 ,4.0 ,-0.6 ,46,3.1 ,8.8 ,5.6 ,6.2 ,2.5 ,-93.6%,,,,,,,1,,100,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,湖北省,鄂州市,江西省,南昌市,鄂州市南昌市,311,劣势线路,省际,1,1,持平,持平,1,1,持平,持平,1,2.9 ,2.2 ,0.7 ,372,鄂州市-武汉市-南昌市,鄂州市-武汉市-南昌市,1.3 ,52.4 ,-3.0 ,21.8 ,-1.2 ,0.5%,-1.6%,94.1%,0.9%,T+2.3,-0.1 ,T+1.1,0.0 ,7.3 ,-0.8 ,14.3 ,-2.3 ,7.1 ,-0.7 ,17.8 ,0.3 ,5.9 ,0.5 ,425,2.6 ,5.4 ,5.1 ,4.6 ,4.1 ,-93.6%,1,,,,,,1,,"4,100",13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,辽宁省,朝阳市,河北省,唐山市,朝阳市唐山市,428,-,省际,1,1,持平,持平,2,1,落后,落后,1,4.5 ,4.0 ,0.5 ,441,朝阳市-锦州市-廊坊市-唐山市,朝阳市-锦州市-北京市-唐山市,1.5 ,59.5 ,-4.5 ,26.2 ,-3.1 ,5.4%,-8.1%,99.0%,14.6%,T+2.5,-0.1 ,T+1.0,-0.2 ,4.4 ,-0.3 ,17.8 ,0.0 ,8.9 ,-3.8 ,23.5 ,-0.5 ,4.9 ,0.0 ,105,2.3 ,7.2 ,12.2 ,3.0 ,1.4 ,-93.6%,,,,,,,,,100,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,吉林省,四平市,辽宁省,大连市,四平市大连市,573,劣势线路,省际,2,1,落后,落后,2,1,落后,落后,1,4.4 ,3.8 ,0.6 ,231,四平市-长春市-沈阳市-大连市,四平市-沈阳市-大连市,1.3 ,56.2 ,-4.6 ,24.7 ,0.0 ,3.5%,-0.3%,97.0%,-1.7%,T+2.4,-0.2 ,T+1.0,0.0 ,5.0 ,1.0 ,16.0 ,0.8 ,6.0 ,-1.6 ,24.2 ,-3.8 ,5.0 ,-1.0 ,166,2.8 ,2.7 ,4.9 ,12.6 ,1.7 ,-93.5%,,,,,,1,,,300,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,江西省,萍乡市,广东省,惠州市,萍乡市惠州市,647,-,省际,2,1,落后,落后,2,1,落后,落后,1,4.2 ,3.2 ,1.0 ,629,萍乡市-长沙市-东莞市-惠州市,萍乡市-长沙市-惠州市,1.0 ,50.5 ,-1.5 ,27.8 ,-10.6 ,0.6%,0.6%,94.1%,41.5%,T+2.1,-0.1 ,T+1.1,-0.5 ,2.3 ,0.1 ,5.1 ,0.0 ,20.7 ,-0.9 ,15.9 ,-0.4 ,6.5 ,-0.4 ,34,3.0 ,2.4 ,15.7 ,4.0 ,2.8 ,-93.5%,,,,,,,,,100,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,江苏省,连云港市,山东省,淄博市,连云港市淄博市,335,劣势线路,省际,1,1,持平,持平,2,1,落后,落后,1,3.9 ,2.9 ,1.0 ,791,连云港市-济南市-淄博市,连云港市-潍坊市-淄博市,1.0 ,46.7 ,0.3 ,27.2 ,0.2 ,4.1%,-0.2%,97.6%,3.8%,T+2.0,0.0 ,T+1.0,0.0 ,1.7 ,0.0 ,9.9 ,0.1 ,6.1 ,-0.5 ,24.6 ,0.5 ,4.3 ,0.1 ,860,2.3 ,4.8 ,6.6 ,11.3 ,2.1 ,-93.5%,,,,,,,,,"1,300",63,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,广西壮族自治区,百色市,广东省,东莞市,百色市东莞市,887,劣势线路,省际,1,1,持平,持平,2,1,落后,落后,1,3.7 ,3.3 ,0.4 ,"3,447",百色市-南宁市-东莞市,百色市-广州市-东莞市,1.2 ,50.4 ,0.6 ,27.7 ,-2.3 ,0.5%,-0.7%,93.9%,8.1%,T+2.2,0.1 ,T+1.1,-0.1 ,4.1 ,0.8 ,16.9 ,-0.3 ,10.3 ,-0.6 ,14.7 ,0.7 ,4.5 ,0.1 ,98,2.9 ,6.4 ,10.8 ,5.4 ,2.2 ,-93.4%,,,,,,,,,600,132,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,湖北省,随州市,河南省,南阳市,随州市南阳市,225,-,省际,2,1,落后,落后,2,1,落后,落后,1,4.3 ,2.5 ,1.8 ,233,随州市-襄阳市-郑州市-南阳市,随州市-南阳市,1.3 ,57.3 ,,24.8 ,,3.4%,,96.8%,,T+2.4,,T+1.0,,4.3 ,,18.9 ,,7.4 ,,22.2 ,,4.6 ,,31,2.5 ,5.6 ,5.1 ,8.0 ,3.5 ,-93.4%,,,,,,,1,,100,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,湖北省,鄂州市,河南省,漯河市,鄂州市漯河市,452,-,省际,1,1,持平,持平,2,1,落后,落后,1,4.2 ,3.0 ,1.2 ,78,鄂州市-武汉市-驻马店市-漯河市,鄂州市-武汉市-漯河市,1.3 ,54.6 ,-1.2 ,25.2 ,-3.2 ,0.0%,0.0%,93.3%,18.6%,T+2.4,-0.1 ,T+1.1,-0.2 ,7.7 ,-0.4 ,16.5 ,-0.5 ,6.1 ,-0.9 ,20.0 ,0.3 ,4.3 ,0.3 ,45,4.0 ,6.4 ,6.1 ,6.5 ,2.2 ,-93.3%,1,,,,,,1,,900,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,江苏省,连云港市,山东省,泰安市,连云港市泰安市,314,劣势线路,省际,1,1,持平,持平,2,1,落后,落后,1,3.8 ,3.0 ,0.8 ,609,连云港市-济南市-泰安市,连云港市-济南市-泰安市,1.1 ,47.4 ,7.8 ,23.8 ,-0.8 ,6.6%,-30.8%,99.9%,4.0%,T+2.1,0.4 ,T+1.0,0.0 ,1.6 ,0.2 ,10.1 ,-1.5 ,5.7 ,1.0 ,23.7 ,5.7 ,6.3 ,2.5 ,706,2.3 ,5.1 ,6.2 ,7.8 ,2.3 ,-93.3%,,,,,,,,,"1,300",39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,安徽省,宣城市,山东省,青岛市,宣城市青岛市,721,劣势线路,省际,1,1,持平,持平,3,1,落后,落后,1,4.8 ,3.3 ,1.5 ,"1,144",宣城市-芜湖市-济南市-青岛市,宣城市-芜湖市-青岛市,1.4 ,56.8 ,2.9 ,28.2 ,-0.6 ,1.8%,-1.1%,95.1%,6.2%,T+2.4,0.1 ,T+1.1,-0.1 ,3.5 ,0.4 ,17.5 ,2.7 ,10.8 ,-1.1 ,21.1 ,1.1 ,3.9 ,-0.3 ,530,3.3 ,7.5 ,11.3 ,4.3 ,1.7 ,-93.3%,,,,,,,,,600,41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,山西省,晋城市,河南省,许昌市,晋城市许昌市,232,-,省际,2,1,落后,落后,2,1,落后,落后,1,4.0 ,3.5 ,0.5 ,"1,638",晋城市-太原市-郑州市-许昌市,晋城市-郑州市-许昌市,1.1 ,50.0 ,-1.3 ,25.6 ,-3.3 ,0.7%,0.0%,93.9%,13.4%,T+2.1,-0.1 ,T+1.1,-0.1 ,4.5 ,-0.1 ,13.9 ,-0.6 ,8.6 ,0.3 ,17.8 ,-1.3 ,5.2 ,0.4 ,33,7.4 ,3.2 ,3.7 ,7.8 ,3.4 ,-93.2%,,,,,,,,,100,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,河南省,漯河市,湖北省,十堰市,漯河市十堰市,422,-,省际,2,1,落后,落后,2,1,落后,落后,1,5.5 ,3.2 ,2.3 ,111,漯河市-郑州市-南京市-武汉市-十堰市,漯河市-南阳市-十堰市,1.1 ,51.4 ,-0.1 ,22.0 ,-5.6 ,1.8%,1.8%,95.0%,16.3%,T+2.2,0.0 ,T+1.1,-0.2 ,1.9 ,0.5 ,10.0 ,-1.5 ,6.3 ,-1.5 ,28.3 ,1.8 ,4.8 ,0.4 ,80,2.4 ,8.9 ,3.8 ,4.1 ,2.8 ,-93.2%,,,,,,,1,,300,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,湖北省,荆州市,河南省,信阳市,荆州市信阳市,393,-,省际,1,1,持平,持平,2,1,落后,落后,1,3.9 ,2.5 ,1.4 ,801,荆州市-驻马店市-信阳市,荆州市-武汉市-信阳市,1.4 ,55.5 ,-2.7 ,21.8 ,-2.1 ,2.8%,1.9%,96.0%,8.4%,T+2.4,-0.1 ,T+1.0,-0.1 ,7.9 ,-1.6 ,15.1 ,0.6 ,7.0 ,-0.3 ,22.3 ,-1.2 ,3.1 ,-0.2 ,100,2.1 ,10.0 ,5.0 ,2.0 ,2.7 ,-93.2%,,,,,,,1,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,江苏省,南京市,山东省,日照市,南京市日照市,433,-,省际,2,1,落后,落后,2,1,落后,落后,1,3.5 ,3.0 ,0.5 ,"3,712",南京市-青岛市-日照市,南京市-连云港市-日照市,1.1 ,51.8 ,0.6 ,24.6 ,-2.7 ,0.0%,0.0%,93.0%,10.1%,T+2.2,0.0 ,T+1.1,-0.1 ,2.6 ,0.0 ,13.0 ,0.3 ,9.7 ,-0.7 ,22.6 ,1.1 ,3.9 ,-0.3 ,569,2.4 ,12.6 ,3.6 ,3.8 ,2.3 ,-93.0%,,,,,,,,,800,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,山东省,济南市,河北省,唐山市,济南市唐山市,440,劣势线路,省际,2,1,落后,落后,2,1,落后,落后,1,4.5 ,2.0 ,2.5 ,"14,928",济南市-天津市-唐山市,济南市-唐山市,1.6 ,59.6 ,0.0 ,23.1 ,-1.2 ,0.4%,-0.4%,93.4%,4.7%,T+2.6,0.0 ,T+1.1,-0.1 ,0.7 ,-0.3 ,7.2 ,-0.7 ,27.3 ,1.7 ,16.1 ,-0.8 ,8.3 ,0.1 ,839,3.4 ,6.3 ,6.9 ,3.4 ,3.1 ,-93.0%,,,,,,,,,"2,100",547,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,辽宁省,葫芦岛市,天津市,天津市,葫芦岛市天津市,418,劣势线路,省际,1,1,持平,持平,2,1,落后,落后,1,3.9 ,2.8 ,1.1 ,"1,060",葫芦岛市-锦州市-廊坊市-天津市,葫芦岛市-锦州市-天津市,1.4 ,57.7 ,-10.5 ,23.5 ,-0.7 ,3.9%,-1.6%,96.9%,1.9%,T+2.4,-0.5 ,T+1.0,0.0 ,3.7 ,0.3 ,17.0 ,-0.3 ,16.0 ,-8.7 ,10.1 ,-1.7 ,10.9 ,-0.1 ,294,2.1 ,6.8 ,8.4 ,3.6 ,2.6 ,-93.0%,,,,,,,,,"1,500",44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,安徽省,六安市,山东省,日照市,六安市日照市,674,-,省际,2,1,落后,落后,2,1,落后,落后,1,4.5 ,3.6 ,0.9 ,94,六安市-济南市-青岛市-日照市,六安市-合肥市-临沂市-日照市,1.2 ,55.3 ,-0.2 ,26.9 ,-4.6 ,0.0%,0.0%,92.9%,23.5%,T+2.2,0.0 ,T+1.1,-0.2 ,1.9 ,-0.2 ,12.0 ,-1.3 ,10.8 ,-0.9 ,26.2 ,1.4 ,4.5 ,1.0 ,70,2.1 ,8.7 ,7.5 ,6.6 ,1.9 ,-92.9%,,,,,,,,,100,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,广西壮族自治区,贺州市,广东省,珠海市,贺州市珠海市,389,-,省际,1,1,持平,持平,1,1,持平,持平,1,3.7 ,3.3 ,0.4 ,112,贺州市-广州市-珠海市,贺州市-广州市-珠海市,1.1 ,49.6 ,,21.0 ,,7.1%,,100.0%,,T+2.1,,T+1.0,,2.4 ,,8.4 ,,5.9 ,,27.0 ,,6.0 ,,30,2.7 ,3.6 ,5.4 ,6.1 ,3.3 ,-92.9%,,,,,,,,,50,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,江苏省,泰州市,山东省,日照市,泰州市日照市,408,-,省际,-,1,-,-,2,1,落后,落后,1,4.6 ,3.1 ,1.5 ,853,泰州市-济南市-青岛市-日照市,泰州市-连云港市-日照市,1.1 ,51.9 ,1.7 ,23.5 ,-2.0 ,0.0%,0.0%,92.9%,1.5%,T+2.2,0.0 ,T+1.1,0.0 ,1.7 ,-0.2 ,13.7 ,1.1 ,8.3 ,1.1 ,24.3 ,-0.8 ,3.9 ,0.4 ,99,1.7 ,12.5 ,3.6 ,3.5 ,2.2 ,-92.9%,,,,,,,,,100,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
